a,phi
8.796151e-02,-2.089350e+01
8.978756e-02,-1.965109e+01
9.165158e-02,-1.848218e+01
9.355437e-02,-1.738246e+01
9.549674e-02,-1.634788e+01
9.747952e-02,-1.537461e+01
9.950356e-02,-1.445904e+01
1.015697e-01,-1.359778e+01
1.036789e-01,-1.278763e+01
1.058320e-01,-1.202557e+01
1.080299e-01,-1.130876e+01
1.102736e-01,-1.063453e+01
1.125641e-01,-1.000036e+01
1.149023e-01,-9.403891e+00
1.172892e-01,-8.842882e+00
1.197260e-01,-8.315235e+00
1.222135e-01,-7.818972e+00
1.247530e-01,-7.352235e+00
1.273454e-01,-6.913273e+00
1.299920e-01,-6.500438e+00
1.326939e-01,-6.112179e+00
1.354523e-01,-5.747038e+00
1.382683e-01,-5.403641e+00
1.411433e-01,-5.080696e+00
1.440784e-01,-4.776989e+00
1.470750e-01,-4.491375e+00
1.501344e-01,-4.222780e+00
1.532579e-01,-3.970191e+00
1.564470e-01,-3.732656e+00
1.597030e-01,-3.509279e+00
1.630274e-01,-3.299219e+00
1.664218e-01,-3.101682e+00
1.698876e-01,-2.915922e+00
1.734264e-01,-2.741240e+00
1.770398e-01,-2.576975e+00
1.807295e-01,-2.422507e+00
1.844971e-01,-2.277252e+00
1.883445e-01,-2.140661e+00
1.922733e-01,-2.012219e+00
1.962855e-01,-1.891439e+00
2.003829e-01,-1.777866e+00
2.045673e-01,-1.671068e+00
2.088410e-01,-1.570644e+00
2.132058e-01,-1.476212e+00
2.176638e-01,-1.387416e+00
2.222174e-01,-1.303919e+00
2.268686e-01,-1.225406e+00
2.316197e-01,-1.151579e+00
2.364733e-01,-1.082159e+00
2.414316e-01,-1.016883e+00
2.464973e-01,-9.555042e-01
2.516729e-01,-8.977896e-01
2.569611e-01,-8.435209e-01
2.623648e-01,-7.924925e-01
2.678868e-01,-7.445112e-01
2.735300e-01,-6.993951e-01
2.792977e-01,-6.569734e-01
2.851929e-01,-6.170853e-01
2.912191e-01,-5.795796e-01
2.973796e-01,-5.443142e-01
3.036781e-01,-5.111555e-01
3.101183e-01,-4.799778e-01
3.167041e-01,-4.506629e-01
3.234395e-01,-4.230997e-01
3.303288e-01,-3.971837e-01
3.373763e-01,-3.728166e-01
3.445867e-01,-3.499060e-01
3.519648e-01,-3.283651e-01
3.595156e-01,-3.081122e-01
3.672444e-01,-2.890704e-01
3.751567e-01,-2.711676e-01
3.832583e-01,-2.543359e-01
3.915554e-01,-2.385114e-01
4.000543e-01,-2.236341e-01
4.087618e-01,-2.096476e-01
4.176849e-01,-1.964988e-01
4.268313e-01,-1.841377e-01
4.362088e-01,-1.725176e-01
4.458258e-01,-1.615943e-01
4.556912e-01,-1.513264e-01
4.658143e-01,-1.416748e-01
4.762051e-01,-1.326030e-01
4.868741e-01,-1.240765e-01
4.978327e-01,-1.160629e-01
5.090926e-01,-1.085319e-01
5.206666e-01,-1.014547e-01
5.325682e-01,-9.480458e-02
5.448118e-01,-8.855617e-02
5.574129e-01,-8.268574e-02
5.703879e-01,-7.717096e-02
5.837544e-01,-7.199086e-02
5.975313e-01,-6.712571e-02
6.117387e-01,-6.255699e-02
6.263983e-01,-5.826727e-02
6.415334e-01,-5.424020e-02
6.571689e-01,-5.046039e-02
6.733317e-01,-4.691339e-02
6.900507e-01,-4.358563e-02
7.073571e-01,-4.046433e-02
7.252845e-01,-3.753752e-02
7.438690e-01,-3.479392e-02
7.631499e-01,-3.222294e-02
7.831695e-01,-2.981463e-02
8.039735e-01,-2.755963e-02
8.256115e-01,-2.544914e-02
8.481372e-01,-2.347489e-02
8.716090e-01,-2.162910e-02
8.960900e-01,-1.990445e-02
9.216490e-01,-1.829406e-02
9.483607e-01,-1.679142e-02
9.763065e-01,-1.539044e-02
1.005575e+00,-1.408534e-02
1.036263e+00,-1.287071e-02
